sentiment,content
1,"@helenotway yes, it will finish at 7:30 tonight. Still the food has been great as has been the discussion"
1,@jnacool I dont understand sensex..but wow!
2,Woke up at 7:50 then fell back to sleep. Woke up at 8:50 and back to sleep again. Woke up at 9:50 and I'm staying awake! MORNING!
2,"sabi ko nga lighting up is hazardous to your health, but got shoes for it  thanks love"
0,FUCK EM
0,@baba_booey it doesn't make up for the pitch
0,If you're going to actually read them you have to at least sign up  no fair!
1,@Brittanya69 you are so sexy mama!
1,I'm going to see sweeney todd on stage with my best friend for her bday today (I know I'm going to be the one who sings along!!)
0,"aw man! have to go, only got to listen to the block party for like 10 mins"
1,@matildaxo ooohhh. I understand. I never get sick of her so im on your moms side  I guess your dad just likes what he likes....lol
0,"just watched devil wears prada, and i want to live in new york city more than ever. why must i be so poor"
1,@nnaa the rain was pretty nice. I only have 150 meters of cobbles on my way here
2,"waiting for my friend to come over, so we can hang out!"
0,Arghhhhhhhhh... i can't keep up with these TwitterBones peeps
1,@onlyhis2109 i can't wait to see!
2,@Geeblink A eu fiz de chocolate
0,@redhalo_pax That sucks.
0,"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
0,Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest
1,"Mahalo  great show! @CollieBuddz  aloha, thx for makin it out to Kauai, we enjoyed it!  Safe trip"
2,"Vote Goal 10, help me win goal of the month  http://tinyurl.com/dlrcqk"
0,wants to go to falkland but cant cause of stupid exams and mtbcut are going to be there
0,*meow* a week ago today @sevilla90 was here and we were road trippin
0,@CHRISDJMOYLES Sorry to spoil it but he didn't this time
0,"forgot my macbook's recharger, that means nothing but Pratchett for me today"
1,"Everyone At My Place Tomorrow  Bonfire, Tofu Dogs, And Austin Powers."
2,@bronwen @jjprojects you might have missed my latest experiment - I know blogs have too many words these days  http://tinyurl.com/ne6twc
0,i dont feel very good
2,I was so hype about it being Friday &amp; it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippin.
1,6moredays.6moredays. yay.yay. taken is nearly finished  better be good
1,"@becckysmith aw no!  yeah I must say, it was very good haha"
1,Happy mothers day mom  ?
1,Subway always tastes better when some-one else pays for it  http://tinyurl.com/re5s5h
1,I always forget how much fun kyle is!
1,watching SNL   yay for @jtimberlake hosting!  I love him
1,"@ddlovato I'm sure it was amazing  Wish I could have been there :] You're an incredible, phenomenal, amazingly talented singer"
1,@MiaOMal i'm not partying tonight
0,@TradingGoddess &quot;Perfect Practice makes Perfect&quot;
2,@troublebrother very much much much mash!!!! more please
1,@HannahSukter anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys
1,"Only 8 oral left!  then I have to learn them all but oh welllll, at least I don't have to write them"
1,The sun has gone in!
2,Had interesting WKND. Sleeping Saturday &amp; Productive Sunday!!
1,Symantec Ghost image corruption is making me cry
1,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; finding nemo
0,"i dislike math, but math HATES me"
2,"I'm going through withdrawls,  missing someone!!!!"
0,Left poor fred!(boyfriend) in the alice in wonderland ride !  oops sorry fred! Argh!
2,i dreamt about monsters last night.  like a little girl.
2,"@chillybreck that would be lovely, alas the cubs would not be gracious enough to stop wrecking the house while we were soaking our bones"
1,Classic JT for a Saturday evening  http://bit.ly/LrzJr
0,@andymakesurandy don't worry iPhone users are just as privileged  wish i were heading to the pool
0,Today was good but some people have friday attitudes...not good
2,work  I don't wanna go  excited fir Sunday though!
0,Been working on my freakin' computer trying to save stuff on a harddrive and it seems I failed miserably.
2,Burning time at wacha
2,Listening to Busted - 3AM. I miss them
0,@cristinica21 kill her
1,Wishes @kirstiealley a Happy Mother's Day!
1,my mother is drunk grrrreat.. It's okay it's mothers week
2,@therealsavannah  why?
1,@AREYNOSO1 @MALICAMUSIC @MOMTOAM HAPPY MOTHERS DAY!! LOVE YOU GUYS...
2,@TechBabe I'll put your name on the list
2,almost 100 cases of swine in australia. hope may still decides to come visits me
0,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me
0,Mourning Venus' Third Round Loss....
2,At work as always
1,i reckon i could live of yogurt for a week if i had a good selection of flavors
2,@tyronevh Hope you've reviewed them on my site  http://snipr.com/hble5
2,@foilly Thought you might be interested in @TweetPhoto http://tweetphoto.com. See who's viewing your photos!
1,"Working on this DAMN Financial project, Definitely not having any fun this weekend  , I want to spend it wit my BAAABY waaaah"
1,@mitchelmusso dont you have a uk say now?
1,to the doctor  anyone wanna do somethin after for a bit?
0,I hate it when this computer screws up and decides not to play sound on videos
1,@paudevera Oh sure  I'M IN LOVE WITH THEM ?
2,Eurgh.. Revision.. Who invented History?
0,i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!
1,surprisingly had a wonderful day
0,Home. Don't think i'll wake up at 5. :-p I had set an alarm for 6 in the kids' room &amp; forgot to turn it off. I feel bad about that.
0,@Anjeebaby @aileenwilliams Please don't get me watching BB too
2,productive day 1
2,"@SQLChicken I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)"
1,happy mother's day mom. love you always
1,@MikeyNEF mmmm... looks so yummy! good seeing u
1,@raytoro just kick their asses and call it a day.
1,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
0,Wrong button  ... My music biz building that is.
2,is leading dull life this Friday... Babysitting!
2,"No more pizza for Jamie? wtg  http://bit.ly/DVSCA (Britains got talent, sure has.)"
2,"alright, back from my twitter decompression  Happy monday folks, what's the good word?"
2,@micahrowland Step by step. I'll work on the cheesecake after I master the quiche.
0,my day has been so crappy that i just want to cry.
0,@kattekrab No tango icons in this revision.
0,i feel like shit
0,"@torie007 yeah, and now you live in the 'hood! I never would have thunk it  What's up with these shootings in Belmont Shore?? Sheesh."
2,@francaiskitty I miss rollerblading down Shoreline.
2,"@lilyroseallen Got tickets for your gig in Glasgow, gutted we have to wait til November though"
0,yesterday i missed the live chat  internet was the problem ï¿½ï¿½
0,Horrid dream. I suspect I will have to cancel my plans tonight...
0,Dentist  my tooth really hurts! &amp;0hhh yeahh I'm with this girl @ashliebrillault maybe you know her? She was Kate on lizzie mcguireee!&lt;3
1,after prom party tonight
1,Is getting more and more excited about thorpe park tomorrow
0,@lstcinthabldg im good! im on my laptop using and external internet plug. i need to send it away to be fixed
2,Listening to Yultron!!
1,@stevencohmer -thanks i hope i do 2  iv been playing dmc4 like 5 times kinda sick of it hehe
0,is thinking about &quot;magnetism and spiritual equilibrium.&quot; My do you alcoholics have a way with words!
0,@PRGabbi Y?!?!?!? i would rather punch someone
0,Dans public transport again and have decided it's just everything north of London that's utter crap these southern trains are alright
0,"@jdlcaro,  In pre-Twitter days, I'd need   to wait  for a formal  invitation  to speak on edu2.0  from @rom  #Y4IT"
0,Being bored is always so much more fun with a companion. Missing my bff alreadyyyy!!!!
2,@solangeknowles www.youtube.com/watch?v=9FtuV3xMrN0
1,watching W. with jas. i love my brother he's my best friend
0,my roommate @tess_tickle loves to ignore me
2,looking at the moon and thinking about _____...
0,"Im regretting the alcohol I consumed last night, MY HEAD"
2,Bring it on till I fall asleep
0,@anitapsays what happened?  are you suffering from neck/shoulder/back pain like me?  i can't move either
0,I'm so sorry Drace  this sucks so bad
0,can't believe I'm peeling from one and a half days of sunshine
2,@Antlatwill hey
0,I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........
1,@kristianc count me in
0,"waking now, so lazy and very worry ..."
0,My dog Roscoe died yestarday and I'm so sad
0,"Back @ work, migraine lingering   Can't wait for the weekend!"
0,"But anywho, I just got in and out of the pool within like 30 minutes because it's about to start storming"
0,"@Goatzilla  im not that good yet, my parents still buy me clothes and stuff when i need them &gt;_&gt; but i dont get pocket money anymore"
1,Paper writing til my heart's content
2,"@knightgirllinz baaad Linz, too... Rather... Sheesh... Text fingers are broked"
2,@AndrewGreer  I did that once
1,"@fattonyrap I'm just a couple bus stops away from an LC, but I didn't realize that until about a month or so ago"
1,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
0,Literally laid in bed all day. Major headache
2,"@Lodewijkvdb Don't worry, you'll get your stamina back soon  What kind of distances do you run usually?"
0,http://bit.ly/T17fl  mary ann &amp; frances are gunna kill me
0,I've got a headache  !!!
1,Good morning &amp; a very happy mothers day to all those lovely moms across the pond
0,Can't paint anymore because of the light
1,Today is lame because I am not in Orlando  I am soooo looking forward to NEXT friday
1,I have a better idea: need a couple hour of relax. bed time. Sweet dreams to everyone!  love u all
1,@crystalchappell Jealous.. stuck here with Ohio sun  Safe travels...
1,"Monday, Monday. Mr. Cade is home on the couch &amp; I have lots to do today!"
2,Sleep. Work tomorrow.
1,@Atashas your sister would ! hahah thats so funny !! i thought you liked them
0,@sassisam agh mine just left for New York last month!!
0,@markhoppus aww mark  that makes me sad I got mine on presale.
1,I am excited to be home  finally a week and a weekend with people i know
0,@paminnewzealand Hiya! You might want to delete and retweet - the link to your blog doesn't work
1,bahaha loving @rachmurrayX  twitter to me last night. DRUNK.  lol
2,starting tm alex and i are doing a whole week of no going out and spending money that we dont have.
1,"Everyone's allergic to Poison Ivy; i know it guys, me too. L, you can't change, and me neither, so...i guess it's enough"
0,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
2,"Ive been up since 530,i hate wen i cant sleep. Garys takn a nap and i mite do the same"
1,"@cali3d congratulations, I hope you have an amazing day"
2,Good morning my fellow tweeters
0,"When someone edit your designs is called plagiarism right??, but what can you do??, I'm tired, exhausted and dissapointed"
0,@tezi_soch hah nooo she is the obly one that can AUMFFF i hate nick because he is datin miley
1,"@kalowee will do  hee after exams, i'll give u plenty of shows. HAHA hopeless me"
0,Why Telstra Why do you are biggest Teleco have to be so greedy  we need fast Internet and NO Download Caps!
1,Im glad i can make sumone smile
2,"@1critic Yep, ah, damn, I don't wanna leave my warm doona to get a hot beverage...I guess I'll just have to make do w/o it"
1,Hey mates. I just came home from the beach.  I'm hella tired. It was a 4-hour ride.
0,@JayLink_ yeah
2,July issue is stressing me out...
0,@Penguin_J heehee. i love you! i am tired.
0,@13rianDavis sometimes ... you just have to write it off ... and start from the top of your tweet stream.  The past has happened
1,hmm i dont know what to do today....cause im done with school...and it feel great
0,"@ingridkerr No, but it does amazing things with keeping all your online conversations in one place... unfortunately that place is Google"
0,@LezmirandaPOW *humming* hmmm hmmm hmmmm hmmmmmm Touched for the verry first time..... Hmmmm hmmmm hmmm hmm hmm mmm mmmmm ......
2,@evernote @eyeficard I need one of these! Was just thinking about it earlier today as I downloaded pictures via USB.  #evernote_eyefi
0,Blehckk ! my cereal is yuck  why does it taste sour ?
0,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
0,talking to dii and missing her terribly...
1,"@Sierrasnowboard under a week delivery to OZ, awesome product, awesome prices. The parcel today made my day"
0,is gaining weight.  rather
0,@Beadz2Pleaz I think I might get some of that today.  My throat is killing me! It feels like it's in my lungs
1,@GoldenFish00 Thxx!! I was in the bathroom when you said it..
1,"@girlonlaptop haha. not sure what local is to you, but if i was then you'd have to fight me for it!"
1,happy star wars day
1,watching Bones with Naty. Have made her a fan! Mission convert Naty: Success...now onto Mission convert Meagan
2,"wow are you serious, another draw for the chicago fire, that's 5 in a row. well at least they're not losing game but we need a win soon"
1,thinks that Pipers molars are cutting thru  we had a nice lil nap me and the girl...now just another friday night at home w/ the lil ones
1,Rachel Alexandra not in Belmont   but appearing in Vogue.  Best looking model they've had in years.
0,now the pic wont load up on twitter
2,@klee123 It wasn't loading.
1,"@lopps_1999  ohh, that is so cute, fishing is so peaceful!  your daughter looks so focus in what she is doing"
0,"Oh yea, and I feel really feckin tired today !"
1,Happy Star Wars Day! .... May the 4th Be with You!
1,Good morning guys!  Dont forget: Today is mothers day! Mommy? I LOVE YOU ! Youï¿½re the best &lt;3
2,"@bennsu @dj_diva I know, I know...lol   That is the ONE song that stops me in my tracks on a dancefloor.  I just can't...lol"
1,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3"
1,@mr_trick It's all good  The next 6 months are going to be awesome.
1,"@TerriLPN Thanks, Terri!  I am so excited to pick Parker up on Monday.   I hope he gets along with David! #pixiebob"
1,@LoriBartolozzi Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done
0,"@General_Coxy Apologies, we've had CMS issues all week"
0,"hates the everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh..."
1,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite"
0,Off home ill from work. This man flu is hell
1,@HeatherShorter I love that song! I was starting to think I was the only one that knew that one!    #sameperson
0,not feelin 2day
0,@kricket_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!
0,"@AnditisLiz Hey Hey!! I got this custom designed, one of a kind Superfresh T over here with somebodies name on it collecting dust"
0,"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame"
0,"@invalid_reality damn, you're gonna feel that tomorrow, or tonight. Coffee = laxative.  How's the writing coming?"
0,"@AwkwardTown I know. I think I'm going to have to miss it, though.  This is when sacrificing money for job happiness sucks ass."
0,My wife lost her sprint blackberry 8330 on a bike ride in AM.  Anyone have an extra BB laying around? retweet
2,@dark_jayy It might hav to cost u a History essay.
2,at MKG 3 now. and all alone
1,Caught on Google Street View http://twitzap.com/u/aw4 - A couple of good ones
1,@taylorswift13 Mine too! Hayley is great
0,"last thoughts, again: is sorry, laura. and doesn't want her last tweet of the day to stuart to be nasty   *hugs* ?"
0,Yum chocolate sorbet! She barely even shared  http://twitpic.com/67azl
0,reeeejuvinated  and bored as hell.
0,@Starry1968 you're surrounded by them! I have no official nieces/nephews yet
1,"Such a good little Saturday. Didn't include Bed Bath and Beyond, but Borders was on the list. Can't wait for tomorrow. Good day planned"
2,"@Pamela010474 nope..not drunk..sometimes I think maybe I should..then maybe Twitter would make sense, ya know!"
2,@davidarchie great  what did you end up having?
1,@mskiannathediva  He's awesome... Have you worked with him before? He's a good friend.
2,dude I have 2 more hours  and I'm all done with my work
0,@colinkelly thanks colin hearing that bad knee Imor not il crawl over the finish line  your a wee star
2,@JonathanRKnight Thanks
0,"is somewhat irritated by people coming up to me and asking if I'm so and so from TV, or that I look familiar. I thought I was original."
1,Just got home from a day of pampering and shopping!!!! My white outfit is now totally complete
0,@iGaia Nope!  She can travel all she wants when SHE can pay for it.
2,@GENeralization Damn I come from Las Vegas suburbia. Its hard for me to connect with ppls
1,@dpbkmb Thank you for FF
2,"@man_wi_no_name nope!  the printer in the library didn't work, ill have to pass it in monday"
1,"@Nextread I agree, keep it in Star Trek but make it commercially viable! C'mon!"
1,@_sarahwilson_ Absolutely love your hair and outfit in tonight's ep
2,Practicing vocal warm ups and breathing methods. I should do this the right way
2,wishes a Happy Mother's Day to all mothers! Especially her own.  http://plurk.com/p/svg9d
1,JD and Turk make me laugh  #scrubs
1,Enjoying &quot;Gears of War&quot; on my PC ! This game is really gooooood
1,Outz wif the BIG BIG BIG HAPPY FAMILY for mommy's day meal. And Happy Mommy Day to all Mommys out there!
2,"@lynn_hong  Oh yeah, just came back from a weekend of cosplay photo marathons"
0,@pativalen im going to have to  i hardly ever travel!
1,"PROUD 2 BE A MOTHER  I HAVE MY SON &amp; HIS COUISN OVER SPENDING A NITE, IT'S A BOYZ NITE, &amp; THEY DRIVING ME CRAZY BUT I LUV EM.."
1,@Reptar01 what do you mean it sit funny? I like the way it looks!!!  and I took the other part of the nail off. It didn't hurt that time!
0,"@drinkins I'm suffering from the Internet that works bad, only sites hosted on russian servers are available for me"
1,Off to the banks to get this thing rolling! Hooray for days off!
1,@peebles95 call me later so i can tell you all about the weekend. Easier over phone.
0,@donperignon me too baby... Miss you
2,right anyone know what episode of Bones is showing on sky2 tonight at 9pm - programme synopsis is not available on my box
1,@SinnamonLove Yes we did!  Thank You!!
2,@Zanti1 Are you guys gonna get the metal detector from the Brickmans? I saw Chad ask Davey on FB. Sorry 'bout your ring
1,"@NeilDavidson happened about three weeks ago. Why, is there a serial card fraudster on the loose?"
1,@justinphillip. Awesome!  what kind?
0,has a broken iphone
1,@emzyjonas My favourite TV show when i was a kid was.. Bananas In Pyjamas and Teletubbies.  lol Luckyy youuuu going to a JB concert! haha.
0,"@Caps_Girl Girl, those are bangin' shoes!!!  Work it!"
2,@chupachupgirl Thanks.
1,@DrMommy I have got my smile
0,is having this massive headache! and all i want to do is eat some nachos..
0,@Remy_Foster Still not working
0,@Meghaaa lol. sounds like don't call me babe  have done that too !! have you thought that over ?
2,i just found a crack in my baking bowl...milk spilled everywhere
0,my little sister told me i have a double chin  aww
0,WALC-ers are you ready to cry? its going to be a long day of reminiscing
1,lovely night of steve-o and family guy. off to bed.
2,Please vote for my husband Jorge at the All Star Game @ http://bit.ly/TGxzu! I can't vote anymore
0,Quiet day at work 2day.Just had dinner. Whats doin out there?
0,i miss the one who would do anything to spend 5 min with me... the one who used to say just tell me when and where
1,Wrestlefest was fun! Now tune into www.latalkradio.com from 2-3 sunday and chat with me
2,@Rosie_G_Yo oh I wuld go w/ you..... im takn off to class right now. boo
0,I wish I could go to the Love Music Hate Racism gig this weekend   I'm not in the right part of the world even
1,"@Krystania thanks.mine wasn't too bad. Made a card for my mom, had a nice nap, finished some work, wrote bills, I have a surprise for you"
2,"@profkhai Here are some that other tweeple recommend to me: www.audiomicro.com , http://tr.im/gWOy , http://tr.im/gWPx"
2,Yeah  :p
1,"@tommcfly Would love it if you guys toured here, really! Philippines tour?"
0,Sometimes I forget that boys have feelings too
0,"@ABOResearch Pleased to hear it, but still I am shamed sometimes to hear what some men do"
1,what a lovely summery morning! Shame I have to be in work!!!!
1,@KimKardashian saw you today! So BEAUTIFUL!! You looked so good! Glad to see the wonderful turnout!
0,Feeling so low and depressed that I'm not on holiday
1,@girlwhoshould but it's fun when they blatantly ignore the advice
0,@NCLUSA Sorry to disappoint. Not a big Nascar fan but I'm still an all-around decent redneck other than that.
2,watching the simpsons
0,@gealbhan_beag     I hate cat pee.
0,i miss my boo
0,@RealSmoothieLuv nope no love
0,jerk josh! didn't even come meet me  - im thinking of a number guess ?
2,Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family
1,Sitting on my sunny balcony and learning for the Dutch exam
0,"Dammit, more money to spend on iPhone apps... haven't finished Wolfenstein yet  http://bit.ly/Othhv"
0,I'm up. I have a plan to transform my bedroom today. Random.
0,@SexyShaq it starts @ 6. But we will be there until they throw us out. Traffic will be crazy!
1,I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.
0,@onlyJesus777 i was in a hospital for a week and a half pretty much on the virge of dying.
1,@JessMcFlyxxx yeaahh; punch her!  haha. xx
1,Catching up on 2 weeks of LOST and Grey's!!    House is quiet again.
1,spending some quality time with my fender tele deluxe...true love
0,@Hi_Im_Chris and i cant get to mine  keep getting an error
2,for the gays i only made 200 tonight
0,@FokusChicagoKid Ah....okay
2,@_supernatural_ http://twitpic.com/4u0r9 - if you need help for a shower... I'm here for u
0,"@onlyme614 girl yes, as if having it where you CANT see it wont gross enough"
1,"Had a great night, ashleigh makes a good dance teacher  And we kicked Bens butt at a pillow fight!"
1,@mundah and I'm really glad you were able to watch the game
1,@FutureClassics Ben and Jerry...yummmmy!!!
0,LivingHandy.de 2.0 - stay tuned  - http://www.LivingHandy.de/
0,"So I played this game , yeahhhhh I lost  I'm inlove ughh....really cause I'm such a fool."
1,Good morning world
0,Ive totally not got that job  i can just tell.
0,"@heyagainlando Their inability to manage money, tough job market, and they're getting behind on bills. This is why no savings is bad"
1,Holy Crap EMS stasher rain jacket you are my new best friend!
1,Everyone's talking about the goodies at #BEA09.  I wanna be there.
1,might start Spanish...any min now....nope just can't do it! xx
1,"@AddictedToJones lol, of course i'm right, i'm ALWAYS right, didn't @ElieBel tell you???"
0,"Last Heroes ep until Sept  Sick &amp; drugged for past 3 days. Dr says lacking in everything, esp -get this- SUNSHINE."
2,"@JennWebb Yeah, I kinda got over the whole Barry Manilow phase."
1,Oooh! Apple are in the trending topics again! xD Yay apple!
0,How to get a $40 trumpet book - get caught in the rain with an $80 trumpet book ... oh dear  NY
1,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!"
1,Haven't been on in foreverr!  Almost happy mother's dayy. Yay. :]
1,I want to play audition with Anna ~ -mHc-SMOOCH
1,"just about to go home. I'm usually 'mr. positive' but this has been one of those daze. well, 15 mins until tomorrow!"
0,"@morgret Probably not, kinda expensive and we have to work. Most people have off weekends, we work."
0,"@tommcfly you and the guys should come down here, we are fucking freezing out here!"
1,thinks castles are fun
2,@just_val_4_now not sure what youre talking about...im not on a ferris wheel im on my couch!
0,@DavidSadof I'm not sure about this tweet business  Why are the simple things so difficult?
1,HAPPY MOTH3R'S DAY 2 3V3RY IN TH3 WORLD!!! ILY
2,Thinks he may have broken his nose at the show
1,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
0,being LAME and not in deland with his favorite people
2,still on the train goin 2 the southside!
2,"&quot;Patchouli oil &amp; incense had a surge in popularity in the 1960s &amp; 1970s, mostly among devotees of the free love &amp; hippie lifestyles.&quot;"
1,"@jambonboy good stuff, thanks"
2,I'm trying to decide if I want to go camping for Memorial Day...any help from my twitter friends?
2,Yes... I'll have some ice in ice tea please  LoL
0,@Matt_Vega @Matt_Vega sikeeee.I'm sick *cough*
1,@DanceDahniDance yea I was about to call you shallow but you saved yourself by saying he makes good music
2,so bored. nothing to do
2,Just going to shower. Brb in 10 mins or so
1,@geehall1 LOL! I had a peek at http://geehall.blogspot.com it's coming along nicely  I totally understand about leaving the set quiet too.
0,Sooo much work so little time
1,"Oh noes, Not Your Average Joes in Lexington is closing!  Sad"
2,"@NctrnlBst @dkmashino I could go for some Lulu's or Slanted Door right about now.  Tomorrow is the Farmer's Market, right?"
0,aWWW Poor Holly
1,"@LMWoodhead you have a viable excuse, helping @ravenouspanda move and all. Sorry I couldn't help! I wanted to wear my sexy moving outfit"
0,"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!"
0,Check out my song &quot;time to lose it&quot; on www.myspace.com/flownyce you'll enjoy it I promise
2,@CarlosV cool np. It's got me working on a series of designs.
0,http://tinyurl.com/ateltl &lt;-- Rocksteady pt II
0,"@marshallsheldon Probably not a good idea, its hard to tweet on the web, I miss Tweetdeck!  *cry*"
1,"mmm... hot chocolate, ugboots and topgear... life is good."
